datetime,headline,summary
2023-02-22,NVIDIA CORP 官方披露 (Form 8-K: 季度业绩与财务状况发布),SEC官方归档: 季度业绩与财务状况发布。【量化财务指标: 2023 全财年累计总营收: 26.97 亿美元，全财年同比增长: +0.2%】 详细文档: 8-K
2023-02-24,NVIDIA CORP 官方披露 (Form 10-K: 定期财务报告归档),SEC官方归档: 定期财务报告归档。【量化财务指标: 2023 全财年累计总营收: 26.97 亿美元，全财年同比增长: +0.2%】 详细文档: 10-K
2023-03-08,NVIDIA CORP 官方披露 (Form 8-K: 董事与核心高管任免变动),SEC官方归档: 董事与核心高管任免变动。 详细文档: 8-K
2023-05-24,NVIDIA CORP 官方披露 (Form 8-K: 季度业绩与财务状况发布),SEC官方归档: 季度业绩与财务状况发布。【量化财务指标: 2024 Q1 单季总营收: 7.19 亿美元，单季环比增长: +21.3%】 详细文档: 8-K
2023-05-26,NVIDIA CORP 官方披露 (Form 10-Q: 定期财务报告归档),SEC官方归档: 定期财务报告归档。【量化财务指标: 2024 Q1 单季总营收: 7.19 亿美元，单季环比增长: +21.3%】 详细文档: 10-Q
2023-06-27,NVIDIA CORP 官方披露 (Form 8-K: 股东大会表决结果公布),SEC官方归档: 股东大会表决结果公布。 详细文档: 8-K
2023-07-24,NVIDIA CORP 官方披露 (Form 8-K: 董事与核心高管任免变动),SEC官方归档: 董事与核心高管任免变动。 详细文档: 8-K
2023-08-23,NVIDIA CORP 官方披露 (Form 8-K: 季度业绩与财务状况发布),SEC官方归档: 季度业绩与财务状况发布。【量化财务指标: 2024 Q2 单季总营收: 13.51 亿美元，单季环比增长: +87.8%】 详细文档: 8-K
2023-08-28,NVIDIA CORP 官方披露 (Form 10-Q: 定期财务报告归档),SEC官方归档: 定期财务报告归档。【量化财务指标: 2024 Q2 单季总营收: 13.51 亿美元，单季环比增长: +87.8%】 详细文档: 10-Q
2023-10-17,NVIDIA CORP 官方披露 (Form 8-K: 重要监管与业务事项披露 (含出口管制政策)),SEC官方归档: 重要监管与业务事项披露 (含出口管制政策)。 详细文档: 8-K
2023-10-24,NVIDIA CORP 官方披露 (Form 8-K: 重要监管与业务事项披露 (含出口管制政策)),SEC官方归档: 重要监管与业务事项披露 (含出口管制政策)。 详细文档: 8-K
2023-11-21,NVIDIA CORP 官方披露 (Form 10-Q/8-K: 季度业绩与财务状况发布),SEC官方归档: 季度业绩与财务状况发布。【量化财务指标: 2024 Q3 单季总营收: 18.12 亿美元，单季环比增长: +34.2%】 详细文档: 10-Q
2024-02-21,NVIDIA CORP 官方披露 (Form 10-K/8-K: 季度业绩与财务状况发布),SEC官方归档: 季度业绩与财务状况发布。【量化财务指标: 2024 全财年累计总营收: 60.92 亿美元，全财年同比增长: +125.9%】 详细文档: 10-K
2024-03-14,NVIDIA CORP 官方披露 (Form 8-K: 董事与核心高管任免变动),SEC官方归档: 董事与核心高管任免变动。 详细文档: 8-K
